player_name,CT_list,lowest_price,second_lowest_price,lowest_to_second_ratio,price_gap,lowest_seller,lowest_title,lowest_item_web_url,lowest_item_id,second_seller,second_title,second_item_web_url,second_item_id
Ryan Johnson,Red 5,84.99,110.99,0.765745,26.0,couca6,2025 Topps Update Series Ryan Johnson Red Rainbow Foil RC SN:5/5,,,samurai_soul_24,2025 TOPPS Update Series Ryan Johnson 1/5 Red Rainbow Foil #US121,,
Hyeseong Kim,Diamante,2.29,2.99,0.765886,0.7,orioles98,2025 Topps Update SILVER DIAMANTE Hyeseong Kim ROOKIE #US312 - LA Dodgers,,,frankie-the-gold,2025 Topps Update Series - Diamante #US312 Hyeseong Kim | Rookie Debut RC,,
Santiago Espinal,Blue Rainbow,4.98,6.5,0.766154,1.52,islayhaveanother,2025 Topps Update Santiago Espinal Blue Foil /150 Reds,,,siusc-1054,2025 Topps Update Santiago Espinal Blue Rainbow Foil /150 US150 Cincinnati Reds,,
Mitch Spence,Sandglitter,2.36,3.08,0.766234,0.72,sportcardplus,2025 Topps Update Series Sandglitter Mitch Spence Oakland Athletics #US20,,,djchinosports,2025 Topps Update Series Sandglitter Mitch Spence Oakland Athletics #US20,,
Tanner Gordon,Purple Rainbow,4.59,5.99,0.766277,1.4,brownie24,Tanner Gordon Rookie 2025 Topps Update #US8 Purple Foil /250 Rockies Color Match,,,sliderbaseball,Tanner Gordon ROOKIE RC /250 PURPLE FOIL 2025 Topps Update #US8 Rockies,,
Andrés Muñoz,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Andrés Muñoz #US12 Seattle Mariners,,,junkwaxkids,2025 Topps Update #US12 Andrés Muñoz,,
Austin Wynns,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Austin Wynns #US330 Oakland Athletics,,,junkwaxkids,2025 Topps Update #US330 Austin Wynns,,
Bailey Horn,nan,0.99,1.29,0.767442,0.3,aus-158089,2025 Topps Update #US162 Bailey Horn,,,junkwaxkids,2025 Topps Update #US162 Bailey Horn,,
Braydon Fisher,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Braydon Fisher Rookie #US89 Toronto Blue Jays,,,junkwaxkids,2025 Topps Update #US89 Braydon Fisher BUY2GET1 CODE: JWKFAN25,,
Carlos Duran,nan,0.99,1.29,0.767442,0.3,aus-158089,2025 Topps Update #US104 Carlos Duran,,,junkwaxkids,2025 Topps Update #US104 Carlos Duran,,
Craig Yoho,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Craig Yoho Rookie #US261 Milwaukee Brewers,,,junkwaxkids,2025 Topps Update #US261 Craig Yoho,,
Devin Williams,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Devin Williams #US178 New York Yankees,,,junkwaxkids,2025 Topps Update #US178 Devin Williams BUY2GET1 CODE: JWKFAN25,,
Dominic Canzone,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Dominic Canzone #US56 Seattle Mariners,,,junkwaxkids,2025 Topps Update #US56 Dominic Canzone,,
Evan Kravetz,nan,0.99,1.29,0.767442,0.3,harper131213,2025 Topps Update Series - Evan Kravetz #US280 (RC),,,junkwaxkids,2025 Topps Update #US280 Evan Kravetz,,
Evan Phillips,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Evan Phillips #US18 Los Angeles Dodgers,,,junkwaxkids,2025 Topps Update #US18 Evan Phillips,,
Gunnar Hoglund,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Gunnar Hoglund Rookie #US254 Athletics,,,junkwaxkids,2025 Topps Update #US254 Gunnar Hoglund,,
Hunter Bigge,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Hunter Bigge Rookie #US231 Tampa Bay Rays,,,junkwaxkids,2025 Topps Update #US231 Hunter Bigge,,
James Meeker,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball James Meeker Rookie #US326 Milwaukee Brewers,,,dkbbl8,2025 Topps Update #US326 James Meeker Rookie Milwaukee Brewers,,
Jason Heyward,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Jason Heyward #US71 San Diego Padres,,,junkwaxkids,2025 Topps Update #US71 Jason Heyward,,
Jeff Criswell,nan,0.99,1.29,0.767442,0.3,harper131213,2025 Topps Update Series - Jeff Criswell #US5 (RC),,,junkwaxkids,2025 Topps Update #US5 Jeff Criswell,,
Kevin Pillar,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Kevin Pillar #US311 Texas Rangers,,,junkwaxkids,2025 Topps Update #US311 Kevin Pillar,,
Kyle Hendricks,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Kyle Hendricks #US136 Los Angeles Angels,,,junkwaxkids,2025 Topps Update #US136 Kyle Hendricks BUY2GET1 CODE: JWKFAN25,,
Luis Guerrero,nan,0.99,1.29,0.767442,0.3,usa-sales,2025 Topps Update Series - Luis Guerrero #US36 Ghost Foil (RC),,,junkwaxkids,2025 Topps Update #US36 Luis Guerrero BUY2GET1 CODE: JWKFAN25,,
Luis Torrens,nan,0.99,1.29,0.767442,0.3,harper131213,2025 Topps Update Series - Luis Torrens #US297,,,junkwaxkids,2025 Topps Update #US297 Luis Torrens,,
Marcell Ozuna / Ozzie Albies,nan,0.99,1.29,0.767442,0.3,dabronic,"2025 Topps Update Series - Veteran Combos Ozzie Albies, Marcell Ozuna #US229",,,junkwaxkids,2025 Topps Update #US229 Power In Pairs (Marcell Ozuna / Ozzie Albies) VC,,
Rowdy Tellez,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Rowdy Tellez #US19 Seattle Mariners,,,junkwaxkids,2025 Topps Update #US19 Rowdy Tellez,,
Tyler Heineman,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Tyler Heineman #US91 Toronto Blue Jays,,,junkwaxkids,2025 Topps Update #US91 Tyler Heineman,,
Zack Littell,nan,0.99,1.29,0.767442,0.3,kingbeerus,2025 Topps Update Series Baseball Zack Littell #US66 Tampa Bay Rays,,,junkwaxkids,2025 Topps Update #US66 Zack Littell,,
Evan Phillips,Diamante,1.75,2.28,0.767544,0.53,pnw-406cardcollecting,Evan Phillips Diamante Foil 2025 Topps Update Series Card #US18 LA Dodgers,,,lottscreekmarket,2025 Topps Update Evan Phillips Diamante Parallel Evan Phillips #US18 LA Dodgers,,
Kyle Higashioka,Base Rainbow,1.75,2.28,0.767544,0.53,john.reynolds723,2025 Topps Update-#US207 Kyle Higashioka Rainbow Foil,,,liftbridgecards,2025 Topps Update Series KYLE HIGASHIOKA Rainbow Foil #US207,,
Drew Avans,Diamante,1.99,2.59,0.76834,0.6,traneofthought,Drew Avans 2025 Topps Update #US92 Diamante Foil Rookie,,,rkchasingvb,2025 Topps Update #US92 Drew Avans Diamante Foil,,
Doug Nikhazy,Purple Rainbow,4.98,6.48,0.768519,1.5,crows_cards,2025 Topps Update Doug Nikhazy (RC) Purple Foil /250 #US44 Cleveland Guardians,,,bob1981,2025 TOPPS UPDATE PURPLE  FOIL 8/250 DOUG NIKHAZY RC #44 CLEVELAND GUARDIANS,,
Joe Boyle,Photo Variation,19.99,26.0,0.768846,6.01,whodeyf_31,2025 TOPPS UPDATE TRUE PHOTO VARIATION US62 JOE BOYLE TAMPA BAY RAYS,,,ronopus,"Joe Boyle 2025 Topps Update #US62 True Photo SP and Halloween ""Ghosts"" Foil SP",,
Griffin Canning,Green Foil,4.99,6.49,0.768875,1.5,colecard,2025 Topps Update-Griffin Canning Green Foil /99-New York Mets,,,maxtastic10,2025 Topps Update Griffin Canning Green Foil /99 New York Mets,,
Jeff Hoffman,Blue Rainbow,1.73,2.25,0.768889,0.52,tremp1977,2025 Topps Update - Jeff Hoffman Rainbow Foil Toronto Blue Jays #US9,,,ldcollectibles25,2025 Topps Update Series Rainbow Foil Jeff Hoffman #US9 Toronto Blue Jays,,
Brooks Lee,Base Rainbow,1.5,1.95,0.769231,0.45,railroadbedcards,2025 Topps Update Series - Rookie Debut Brooks Lee #US243 Rainbow Foil (RC),,,jts_fieldofcards,2025 Topps Update✨MLB Debut Rainbow Foil✨#US243 Brooks Lee (RC) Minnesota Twins,,
Luis Mey,Sandglitter,1.5,1.95,0.769231,0.45,gregziecker,Luis Mey Rookie 2025 Topps Update Series #US102 Sandglitter RC Reds,,,whitesoxfan8907,Luis Mey Sandglitter Cincinnati Reds Rookie 2025 Topps Update #US102,,
Ty France,Sandglitter,1.5,1.95,0.769231,0.45,jos-762161,2025 Topps Update Sandglitter Ty France Minnesota Twins #US268,,,whitesoxfan8907,Ty France Pink Sandglitter 2025 Topps Update US268,,
Tylor Megill,Base Rainbow,1.5,1.95,0.769231,0.45,pnw-406cardcollecting,Tylor Megill Rainbow Foil 2025 Topps Update Series Card #US271 New York Mets,,,sgoodbar,2025 Topps Update #US271 Tylor MeGill Rainbow Foil New York Mets,,
Ben Rice,Chrome,1.74,2.26,0.769912,0.52,muck1201,2025 Topps Update Series Chrome - #USC138 Ben Rice (RC) Yankees,,,infinityartmedia,BEN RICE—2025 Topps Update Series Chrome Refractor #USC138—ROOKIE CARD,,
Tyler Mahle,Purple Rainbow,2.31,3.0,0.77,0.69,andkna3997,2025 Topps Update Series Purple Foil Tyler Mahle /250 Rangers #US152,,,1st_base_cards,2025 Topps Update #US152 Tyler Mahle Purple Holofoil /250 Texas Rangers,,
Eric Orze,Purple Rainbow,3.77,4.89,0.770961,1.12,carnage_factory_collectibles,"2025 Topps Update - Eric Orze PURPLE Holo Foil /250, #US-212, (RC) Rays",,,diamond.27,ERIC ORZE RC 248/250 Purple Foil 2025 Topps Update US212 Tampa Bay Rays,,
Travis d'Arnaud,Sandglitter,1.99,2.58,0.771318,0.59,pet_that_goat,2025 Topps Update - Sandglitter - #US33 Travis d'Arnaud - Los Angeles Angels,,,sportscardsforall,2025 Topps Update Series TRAVIS d'ARNAUD  Sandglitter LOS ANGELES ANGELS- #US33,,
Garrett McDaniels,Purple Rainbow,3.68,4.77,0.771488,1.09,price_rite_cards,2025 Topps Update #US17 Garrett McDaniels Purple Holo Foil #/250,,,leggs-lists,Garrett McDaniels RC 2025 Topps Update Purple Rainbow Foil 101/250 #US17 Angels,,
Alan Roden,Purple Rainbow,2.3,2.98,0.771812,0.68,onewholelottalove,2025 Topps Update Alan Roden Rookie #US251 PURPLE RAINBOW FOIL 190/250,,,elitecardsnstuff44,Alan Roden 2025 Topps Update Rookie #US251 Purple Holo Foil /250 Blue Jays,,
nan,Orange 25,10.0,12.95,0.772201,2.95,kennworth_cards,2025 Topps Update Series Rafael Marchan #US289 Orange Foil /25,,,dugout21f,2025 Topps Update Orange Rainbow Foil #US237 Carlos Estevez /25 - NM-MT,,
Will Wilson,Gold 2025,2.24,2.9,0.772414,0.66,zhomer44,2025 Topps Update #US255 Will Wilson RC Gold Parallel #/2025 Cleveland Guardians,,,jaggscolletables,2025 Topps Update Series - Will Wilson #US255 Gold /2025 (RC),,
Chase Petty,nan,1.12,1.45,0.772414,0.33,unclebenniescollectibles,"Chase Petty, RC, Base - 2025 Topps Update Series Baseball",,,generalbentleytrading,2025 Topps Update Series #US275 Chase Petty (RC),,
Elly De La Cruz,Base Rainbow,2.31,2.99,0.772575,0.68,2ndtonone78,2025 Topps Update ELLY DE LA CRUZ All-Star Rainbow Foil BUY ANY 2 GET 1 FREE,,,jaretl,2025 Topps Update Series - Future Stars Elly De La Cruz ASG Rainbow Foilboard,,
Evan Sisk,Orange Black,2.31,2.99,0.772575,0.68,trulyhonesttraders,Evan Sisk RC 2025 Topps Update Holiday Orange & Black Foil #US176 Royals,,,kjstone7355,2025 Topps Update Series - Evan Sisk #US176 Holiday Orange & Black Foil (RC),,
Ryan Walker,Purple Rainbow,2.31,2.99,0.772575,0.68,2ndtonone78,2025 Topps Update #US179 RYAN WALKER Purple Rainbow Foil /250,,,pattal-3,2025 Topps Update Series Ryan Walker Purple Foil #'d /250 #US179 - SF Giants,,
Caden Dana,Gold 50,20.05,25.95,0.77264,5.9,cackerman509,2025 Topps Update Caden Dana Rising Rookies Gold Player Worn Jersey 39/50,,,taternixon,2025 Topps Update- #US187 Caden Dana Gold Foil /50- Angels Rookie Debut I-6891,,
Michael Lorenzen,Photo Variation,11.78,15.24,0.772966,3.46,shasche_9982,2025 Topps Update Series #US222 Michael Lorenzen True Photo Variation,,,keasells,Michael Lorenzen 2025 Topps Update Series True Photo Variation Short Print,,
Adrian Del Castillo,Green Foil,3.48,4.5,0.773333,1.02,delli-steve,ADRIAN DEL CASTILLO 2025 TOPPS UPDATE SERIES GREEN HOLO FOIL RC /99 DIAMONDBACKS,,,gaalex8542,2025 TOPPS UPDATE BASEBALL GREEN FOIL 45/99 RC ADRIAN DEL CASTILLO ARIZONA US267,,
Armando Alvarez,Sandglitter,1.74,2.25,0.773333,0.51,muck1201,2025 Topps Update Series Sand Glitter - #US161 Armando Alvarez (RC) Twins,,,bmacs_packs,2025 Topps Update Series Armando Alvarez RC #US161 Sand Glitter Twins,,
Jose Iglesias,Sandglitter,1.74,2.25,0.773333,0.51,kj822,2025 Topps Update Sand Glitter Jose Iglesias #US182,,,railroadbedcards,2025 Topps Update Series - Jose Iglesias #US182 Sandglitter,,
Michael Taylor,Base Rainbow,1.57,2.03,0.773399,0.46,ganzachssportshop,2025 Topps Update #US57 Michael Taylor Rainbow Foil,,,payro-70,2025 Topps Update Rainbow Foil #US57 Michael Taylor - Chicago White Sox,,
Jeff Hoffman,Sandglitter,3.08,3.98,0.773869,0.9,djchinosports,2025 Topps Update Series Sandglitter Jeff Hoffman Toronto Blue Jays #US9,,,ktown99,2025 Topps Update Series Sandglitter Jeff Hoffman Toronto Blue Jays #US9,,
Isaac Paredes,Sandglitter,1.54,1.99,0.773869,0.45,krgan313,2025 Topps Update Series - Isaac Paredes #US195 Sandglitter Houston Astros,,,jsawcards,Isaac Paredes 2025 Topps Update #US195 Sandglitter Houston Astros,,
Jamie Westbrook,Orange Black,1.79,2.31,0.774892,0.52,schleidscards24,2025 Topps Update Series Jamie Westbrook #US3 Orange Holiday Foil Rookie RC Rays,,,kellyskards1768,2025 Topps Update Jamie Westbrook Rookie RC #US3 Holiday Orange Black Foil Rays,,
Cody Bellinger,nan,1.0,1.29,0.775194,0.29,redskinmet72,2025 Topps Update - Cody Bellinger #US50 New York Yankees,,,junkwaxkids,2025 Topps Update #US50 Cody Bellinger,,
Colton Gordon,nan,1.0,1.29,0.775194,0.29,caki-12,2025 Topps Update Colton Gordon US157 RC,,,junkwaxkids,2025 Topps Update #US157 Colton Gordon,,
Daniel Robert,nan,1.0,1.29,0.775194,0.29,fuconne-0,"2025 Topps Update Series Baseball US304 Daniel Robert, Texas Rangers RC",,,junkwaxkids,2025 Topps Update #US304 Daniel Robert,,
Hayden Birdsong,nan,1.0,1.29,0.775194,0.29,aus-158089,2025 Topps Update #US34 Hayden Birdsong,,,junkwaxkids,2025 Topps Update #US34 Hayden Birdsong,,
Kade Strowd,nan,1.0,1.29,0.775194,0.29,silock38,2025 Topps Update Series - Kade Strowd #US146 (RC)- Orioles,,,junkwaxkids,2025 Topps Update #US146 Kade Strowd BUY2GET1 CODE: JWKFAN25,,
Cal Quantrill,Orange Black,1.69,2.18,0.775229,0.49,schleidscards24,2025 Topps Update Series Cal Quantrill #US191 Orange Holiday Foil Marlins,,,tcrouch433,2025 Topps Update Series - Cal Quantrill #US191 Holiday Orange & Black Foil,,
Jared Triolo,Gold 50,21.7,27.99,0.775277,6.29,pull-and-pull,2025 Topps Update Series - Jared Triolo #US54 Gold Holofoil /50,,,johnny75cards,JARED TRIOLO 2025 Topps Update #US54 Gold Rainbow Parallel 07/50 Pirates,,
Grant Koch,Purple Rainbow,3.49,4.5,0.775556,1.01,jakemetivier78,2025 Topps Update Grant Koch Rookie RC Purple Rainbow Foil /250 #US28 Pirates,,,anaheimsportscards,2025 Topps Update Series Purple Rainbow Foil/250 ~ Grant Koch RC  Pirates,,
Elly De La Cruz,Holiday Jackolantern,18.24,23.49,0.776501,5.25,kymcc-866,2025 Topps Update Series - Elly De La Cruz #US235 Jack-O-Lantern Pumpkin SP Reds,,,back-in-the-hobby_cards,2025 Topps Update #US331 Elly De La Cruz / Matt McClain Jack-o-lantern (SP),,
Bryce Harper / Nick Castellanos,Base Rainbow,1.74,2.24,0.776786,0.5,sandlcollectibles,"2025 Topps Update - Rainbow Foil COMBOS #US107,  Bryce Harper, Nick Castellanos",,,thremporiumcards,2025 Topps Update #US107 Bryce Harper / Nick Castellanos VC Rainbow Foil,,
Jake Mangum,Holiday Jackolantern,5.43,6.99,0.776824,1.56,cwerb17,2025 Topps Update HALLOWEEN JACK O'LANTERN #US306 Jake Mangum RC Tampa Bay Rays,,,mrscrapstradingcards,2025 Topps Update #US306 Jake Mangum Holiday Jack O’Lantern,,
Isaac Paredes,nan,1.29,1.66,0.777108,0.37,junkwaxkids,2025 Topps Update #US195 Isaac Paredes,,,ericscardsii,Isaac Paredes 2025 Topps Update Houston Astros #US195,,
Matt Thaiss,nan,1.29,1.66,0.777108,0.37,junkwaxkids,2025 Topps Update #US48 Matt Thaiss BUY2GET1 CODE: JWKFAN25,,,ericscardsii,Matt Thaiss 2025 Topps Update Tampa Bay Rays #US48,,
Max Kepler,nan,1.29,1.66,0.777108,0.37,junkwaxkids,2025 Topps Update #US82 Max Kepler,,,ericscardsii,Max Kepler 2025 Topps Update Philadelphia Phillies #US82,,
Nick Pivetta,nan,1.29,1.66,0.777108,0.37,junkwaxkids,2025 Topps Update #US69 Nick Pivetta BUY2GET1 CODE: JWKFAN25,,,ericscardsii,Nick Pivetta 2025 Topps Update San Diego Padres #US69,,
Mike Vasil,Gold 2025,2.72,3.5,0.777143,0.78,shooterscardsplus,2025 Topps Update Series - Mike Vasil #US219 Gold /2025 (RC),,,croc55,2025 Topps Update Series Mike Vasil #US219 Gold Rookie RC #/2025 Chicago,,
Paxton Schultz,Blue Rainbow,3.49,4.49,0.777283,1.0,longo_45,2025 Topps Update Rainbow Foil Paxton Schultz RC Toronto Blue Jays #US350,,,bmacs_packs,2025 Topps Update Paxton Schultz RC Blue Rainbow Foil /150 #US350 Blue Jays,,
Mickey Moniak,Gold 50,11.5,14.79,0.777552,3.29,jostra-7960,Mickey Moniak 2025 Topps Update Gold Rainbow Foil /50 #US246 Colorado Rockies,,,ericscardsii,Mickey Moniak 2025 Topps Update Gold Rainbow Foil /50 #US246 Colorado Rockies,,
Nick Pivetta,Blue Rainbow,3.85,4.95,0.777778,1.1,dalrev-90,2025 Topps Update #US69 Nick Pivetta /150 Blue Holo Foil,,,thecollectoraz,"2025 Topps Update Series Baseball True Blue Foil /150 Nick Pivetta, Padres",,
Mike Vasil,Orange Black,1.75,2.25,0.777778,0.5,overthamoon,2025 Topps Update Series - Mike Vasil #US219 Holiday Orange & Black Foil (RC),,,garygunner,2025 Topps Update Halloween Orange and Black Foil #US219 Mike Vasil,,
Rhett Lowder,Diamante,1.75,2.25,0.777778,0.5,pnw-406cardcollecting,Rhett Lowder Diamante Foil Debut Rookie 2025 Topps Update Series Card US318 Reds,,,ldcollectibles25,2025 Topps Update Series Diamante Foil Rhett Lowder Rookie Debut US318 Reds,,
Ryan Miller,Base Rainbow,1.75,2.25,0.777778,0.5,wolfpacksports,2025 Topps Update #US317 Ryan Miller Rainbow Foil,,,garygunner,2025 Topps Update Rainbow Foil #US317 Ryan Miller,,
Amed Rosario,Orange 25,14.99,19.24,0.779106,4.25,txslabcardshop,2025 TOPPS UPDATE BASEBALL AMED ROSARIO /25 ORANGE SHIMMER FOIL #US322,,,mcucinella,2025 Topps Update Series Amed Rosario Orange Rainbow Foil Parallel #'d 01/25,,
Antonio Senzatela,Photo Variation,11.99,15.38,0.779584,3.39,leggs-lists,Antonio Senzatela 2025 Topps Update True Photo Variation SP #US-154 Rockies,,,foovana,2025 Topps Update Series - Antonio Senzatela #US154 True Photo Variation SP,,
Antonio Senzatela,Purple Rainbow,1.95,2.5,0.78,0.55,foodaddy6,2025 Topps Update Antonio Senzatela #US154 PURPLE HOLO FOIL /250 - Rockies,,,northwestcardguy,2025 Topps Update Series - Antonio Senzatela #US154 Purple Holofoil 004/250,,
Kyle Higashioka,Gold 2025,1.95,2.5,0.78,0.55,arrc-cards,Kyle Higashioka /2025 Gold - 2025 Topps Update #US207 Texas Rangers,,,sgoodbar,2025 Topps Update Kyle Higashioka 582/2025 Gold Parallel Rangers RANGERS,,
Max Lazar,Diamante,1.95,2.5,0.78,0.55,whitesoxfan8907,Max Lazar Phillies RC 2025 Topps Update US194 Diamante,,,jts_fieldofcards,2025 Topps Update 💠Diamante Foil💠 #US194 Max Lazar (RC) Philadelphia Phillies,,
Sauryn Lao,Diamante,1.95,2.5,0.78,0.55,jts_fieldofcards,2025 Topps Update✨Diamante Foil✨#US265 Sauryn Lao (RC) Seattle Mariners,,,ppgshader,2025 Topps Update Sauryn Lao Pink Diamante Foil RC Seattle Mariners #US265,,
Aaron Judge / Jazz Chisholm Jr.,Gold 2025,7.25,9.29,0.780409,2.04,allen44fan,AARON JUDGE JAZZ CHISHOLM JR. 2025 TOPPS UPDATE CITY BOYS! GOLD 198/2025  A-2,,,dnyikos13,2025 Topps Update Gold #US85 Aaron Judge/Jazz Chisholm Jr. #/2025 Yankees,,
Adael Amador,Blue Rainbow,2.99,3.83,0.780679,0.84,bicyclerips,ADAEL AMADOR 2025 TOPPS UPDATE SERIES ROOKIE DEBUT BLUE FOIL RC /150 Q3967,,,2ndtonone78,2025 Topps Update #US94 ADAEL AMADOR RC Debut Blue Rainbow Foil /150,,
Luis Urías,Diamante,1.39,1.78,0.780899,0.39,firehousesportzcardz,2025 Topps Update #US334 Luis Urías Diamante Foil,,,peanutz.cardz,2025 Topps Update #US334 Luis Urías Diamante Foil BB6,,
Brett Baty,Sandglitter,1.75,2.24,0.78125,0.49,sgoodbar,2025 Topps Update Baseball Sand Glitter Foil # US155 Brett Baty,,,greg-9671,2025 Topps Update Series #US155 Brett Baty Sandglitter Parallel - New York Mets,,
Bryan King,Sandglitter,1.75,2.24,0.78125,0.49,overthamoon,2025 Topps Update Series - Bryan King #US183 Sandglitter (RC),,,tldecker77,2025 Topps Update Houston Astros Bryan King(RC) Sandglitter #US183,,
Gio Urshela,nan,1.29,1.65,0.781818,0.36,junkwaxkids,2025 Topps Update #US23 Gio Urshela,,,nra9191,2025 Topps Update  GIO URSHELA  Holiday Foil  #US23,,
Juan Mejia,Diamante,1.95,2.49,0.783133,0.54,jts_fieldofcards,2025 Topps Update ✨Diamante Foil✨ #US285 Juan Mejia (RC) Colorado Rockies,,,pnw-406cardcollecting,Juan Mejia Pink Diamante Foil Rookie 2025 Topps Update Series Card US285 Rockies,,
Luis Contreras,Green Foil,3.99,5.09,0.78389,1.1,bhays44,2025 Topps Update Luis Contreras US323 Green Rainbow Foil /99 RC,,,dw_2005,2025 Topps Update - Luis Contreras #US323 Green Rainbow Foil /99,,
Rhylan Thomas,Diamante,2.29,2.92,0.784247,0.63,commonkingcards,2025 Topps Update #US196 Rhylan Thomas Diamante Foil,,,catfish0311,2025 Topps Update Series - Rhylan Thomas #US196 Diamante Foil (RC),,
Craig Yoho,Gold 50,20.99,26.75,0.784673,5.76,jeffblankenburg,2025 Topps Update Series Gold Wave /50 #USC131 Craig Yoho RC Brewers🔥,,,nerdysportsgirl24,2025 Topps Update Craig Yoho RC Gold Rainbow Foil /50 #US261 Milwaukee Brewers,,
Victor Caratini,Chrome,1.72,2.19,0.785388,0.47,shooterscardsplus,2025 Topps Update Chrome - Victor Caratini #USC57,,,626_baseballcards,2025 Topps Update Series Chrome - Victor Caratini #USC57,,
Zebby Matthews,Blue Rainbow,5.49,6.99,0.785408,1.5,jcs-cardsandmemorabilia,Zebby Matthews RC 52/150 Blue Foil Debut 2025 Topps Update US37 Minnesota Twins,,,diamond.27,Zebby Matthews RC 52/150 Blue Foil Debut 2025 Topps Update US37 Minnesota Twins,,
Levi Jordan,Green Foil,8.99,11.44,0.785839,2.45,netbatsmurf,Levi Jordan 2025 Topps Update Green Rainbow Foil #US6 89/99 RC Cincinnati Reds,,,bucs-21,2025 Topps Update #US6 Levi Jordan Green Holo Foil #/99,,
Matt Thaiss,Blue Rainbow,2.24,2.85,0.785965,0.61,ripfan1899,Matt Thaiss 2025 Topps Update #US48 Blue Holo Foil #'d 120/150 Tampa Bay Rays,,,dalrev-90,2025 Topps Update #US48 Matt Thaiss /150 Blue Rainbow Foil,,
Ryan Rolison,Purple Rainbow,1.8,2.29,0.786026,0.49,housedoor40,2025 Topps Update Series RYAN ROLISON US124 Purple Foil SP 86/250 RC Rockies,,,netbatsmurf,Ryan Rolison 2025 Topps Update Purple Rainbow Foil #US124 042/250 RC Rockies,,
Chris Paddack,Base Rainbow,2.21,2.81,0.786477,0.6,ericscardsii,Chris Paddack 2025 Topps Update Rainbow Foil #US73 Minnesota Twins,,,brtsportscards,2025 Topps Update Chris Paddack Rainbow Foil Minnesota Twins #US73,,
Nick Pivetta,Purple Rainbow,3.1,3.94,0.786802,0.84,yrtrainisleaving,2025 Topps Update Nick Pivetta PURPLE RAINBOW FOIL /250 San Diego Padres #US69,,,nepa_sports_cards,Nick Pivetta 2025 Topps Update Purple Rainbow Foil /250 #US69 San Diego Padres,,
Patrick Monteverde,Purple Rainbow,4.99,6.34,0.787066,1.35,417dlthome,2025 Topps Update Patrick Monteverde Rookie RC Purple #/250 Marlins #US211,,,johnny_ford_cards,2025 Topps Update Purple Patrick Monteverde RC 098/250 #US211,,
Ty France,Green Foil,3.4,4.31,0.788863,0.91,chrispcards84,2025 Topps Update Ty France Green Parallel Numbered 94/99,,,mostarcollectibles,2025 Topps Update Baseball - Ty France #US268 (Green Foil /99),,
Coby Mayo,Chrome,1.65,2.09,0.789474,0.44,tmgrnzx9r,2025 Topps Update Chrome COBY MAYO Sepia Refractor Debut Rookie Card USC94,,,csfinderapp,2025 Topps Update Chrome Raywave Refractor Coby Mayo #USC94 RC,,
Elly De La Cruz / Matt McLain,nan,0.9,1.14,0.789474,0.24,toxnurb,2025 Topps Update ELLY DE LA CRUZ MATT MCLAIN #US331 Cincinnati Reds,,,aus-158089,2025 Topps Update #US331 Red-Hot Risers (Elly De La Cruz / Matt McLain) VC,,
Brady Feigl,Orange 25,14.99,18.98,0.789779,3.99,johnnybaseball_12,2025 Topps Update Series Brady Feigl RC #US333 Orange Foil Parallel/25,,,southernsandlotcollectibles,Brady Feigl RC 2025 Topps Update Orange Foil /25 Twins #US333 Rookie,,
Tylor Megill,Green Foil,7.5,9.49,0.790306,1.99,black_squirrel_1,2025 Topps Update Tylor Megill US271 Green Rainbow Parallel 52/99 - New Yor Mets,,,spidamancollectibles,2025 Topps Update Series Tylor Megill GREEN Rainbow Foil /99 - US271  Mets,,
Brooks Lee,Diamante,2.99,3.78,0.791005,0.79,pnw-406cardcollecting,Brooks Lee Pink Diamante Foil SP Rookie Debut 2025 Topps Update Card US243 Twins,,,bob1981,2025 TOPPS UPDATE Diamante PINK FOIL BROOKS LEE RC # US243 TWINS,,
Matthew Lugo,Gold 50,11.98,15.14,0.791281,3.16,mvpcollect,MATTHEW LUGO 2025 TOPPS UPDATE SERIES US314 ROOKIE GOLD RC /50,,,2ndtonone78,2025 Topps Update #US314 MATTHEW LUGO RC Gold Rainbow Foil /50 Angels,,
