player_name_key,player_name_display,set_count,total_cards,2024_bowman,2024_bowman_chrome,2024_bowman_draft,2024_topps_chrome,2024_topps_chrome_update,2024_topps_series1,2024_topps_series2,2024_topps_update,2025_bowman,2025_bowman_chrome,2025_bowman_draft,2025_topps_chrome,2025_topps_chrome_update,2025_topps_series1,2025_topps_series2,2025_topps_update,2026_topps_heritage,2026_topps_series1
brooks brannon,Brooks Brannon,2,3,2,1,,,,,,,,,,,,,,,,
brooks lee,Brooks Lee,10,64,4,1,,,,,,,4,,,14,6,8,11,11,2,3
brooks robinson,Brooks Robinson,4,5,,,,,,1,2,1,1,,,,,,,,,
brusdar graterol,Brusdar Graterol,1,1,,,,,,1,,,,,,,,,,,,
bryan abreu,Bryan Abreu,3,4,,,,,,2,1,,,,,,,,,,,1
bryan acuña,Bryan Acuña,1,2,2,,,,,,,,,,,,,,,,,
bryan de la cruz,Bryan De La Cruz,4,4,,,,,1,1,1,,,,,,,,,1,,
bryan hudson,Bryan Hudson,3,4,,,,1,2,,,1,,,,,,,,,,
bryan king,Bryan King,3,3,,,,,,,,,,,,1,1,,,1,,
bryan ramos,Bryan Ramos,3,6,,,,,4,,,1,,,,,,,1,,,
bryan reynolds,Bryan Reynolds,12,32,,,,2,3,1,4,8,1,,,1,1,,4,4,1,2
bryan sammons,Bryan Sammons,3,3,,,,,,,,,,,,1,1,,,1,,
bryan woo,Bryan Woo,10,17,1,1,,2,2,5,1,,,,,,1,,,1,2,1
bryce boettcher,Bryce Boettcher,1,2,,,,,,,,,,2,,,,,,,,
bryce cunningham,Bryce Cunningham,2,5,,,3,,,,,,,,2,,,,,,,
bryce elder,Bryce Elder,1,2,,,,,,2,,,,,,,,,,,,
bryce eldridge,Bryce Eldridge,7,27,7,2,4,,,,,,3,7,,,,,,,3,1
bryce harper,Bryce Harper,16,161,1,1,,9,8,24,16,16,2,3,,10,3,11,15,16,6,20
bryce jarvis,Bryce Jarvis,3,4,,,,2,1,,1,,,,,,,,,,,
bryce meccage,Bryce Meccage,1,3,,,3,,,,,,,,,,,,,,,
bryce miller,Bryce Miller,4,9,,,,,,,3,,,,,,,,2,2,,2
bryce rainer,Bryce Rainer,4,13,,,7,,,,,,4,1,1,,,,,,,
bryce teodosio,Bryce Teodosio,3,6,,,,,,,,,,,,2,2,,2,,,
bryse wilson,Bryse Wilson,1,1,,,,,,,,1,,,,,,,,,,
bryson stott,Bryson Stott,8,27,,,,,,4,5,3,,,,,1,,7,2,3,2
bsa-ct,BSA-CT,1,1,,,,,,1,,,,,,,,,,,,
bubba chandler,Bubba Chandler,6,20,1,,,,,,,,1,3,1,,,,,,4,10
burleigh grimes,Burleigh Grimes,2,2,,,,,,1,1,,,,,,,,,,,
buster posey,Buster Posey,9,22,,,,,1,6,1,4,,,,1,1,,2,3,,3
butler,Butler,1,1,,,,,,,,,,,,,,,1,,,
byron buxton,Byron Buxton,12,69,,,,6,1,15,2,3,,,,2,1,1,10,11,7,10
byron chourio,Byron Chourio,2,5,3,,2,,,,,,,,,,,,,,,
c.j. kayfus,C.J. Kayfus,2,7,,,,,,,,,,,,,,,,,3,4
c.j. stroud,C.J. Stroud,1,1,,,,,,,,,,,,,,1,,,,
c.j. stubbs,C.J. Stubbs,1,1,,,,,,,,,,,,,,,,,1,
cabrera,Cabrera,2,2,,,,,,,,,,,,1,,,,1,,
cade cavalli,Cade Cavalli,2,2,,,,,,,,1,,,,,,,,,1,
cade crossland,Cade Crossland,1,2,,,,,,,,,,,2,,,,,,,
cade gibson,Cade Gibson,2,3,,,,,,,,,,,,,2,,,1,,
cade horton,Cade Horton,6,25,,,,,,,,,4,1,,,6,,,10,3,1
cade marlowe,Cade Marlowe,5,7,1,,,2,1,2,1,,,,,,,,,,,
cade obermueller,Cade Obermueller,1,3,,,,,,,,,,,3,,,,,,,
cade povich,Cade Povich,6,13,,,,,,,,,,,,2,3,2,3,2,,1
cade smith,Cade Smith,3,5,,,,,3,,,1,,1,,,,,,,,
caden bodine,Caden Bodine,1,6,,,,,,,,,,,6,,,,,,,
caden dana,Caden Dana,7,25,,,2,,,,,,3,,,5,4,,5,5,1,
caden kendle,Caden Kendle,1,3,,,,,,,,,3,,,,,,,,,
caden powell,Caden Powell,1,2,,,,,,,,,,2,,,,,,,,
cal quantrill,Cal Quantrill,2,2,,,,,,,1,,,,,,,,,1,,
cal raleigh,Cal Raleigh,10,55,,,,1,,1,3,6,,,,,7,1,9,7,7,13
cal ripken jr.,Cal Ripken Jr.,9,51,,,,,2,9,8,7,,,,,2,3,10,3,,7
caleb bonemer,Caleb Bonemer,2,6,,,4,,,,,,,,2,,,,,,,
caleb boushley,Caleb Boushley,2,2,,,,1,1,,,,,,,,,,,,,
caleb durbin,Caleb Durbin,5,12,,2,,,,,,,,,,,4,,,4,1,1
caleb freeman,Caleb Freeman,2,4,,,,,,,,,,,,,3,,,1,,
caleb leys,Caleb Leys,1,2,,,,,,,,,,,2,,,,,,,
caleb lomavita,Caleb Lomavita,1,3,,,,,,,,,3,,,,,,,,,
cam booser,Cam Booser,1,1,,,,,1,,,,,,,,,,,,,
cam caminiti,Cam Caminiti,3,14,,,7,,,,,,4,,3,,,,,,,
cam collier,Cam Collier,2,5,4,,,,,,,,1,,,,,,,,,
cam devanney,Cam Devanney,2,2,,,,,,,,,,,,,,,,,1,1
cam eden,Cam Eden,3,5,,,,1,2,,,2,,,,,,,,,,
cam schlittler,Cam Schlittler,3,10,,,,,,,,,,2,,,,,,,2,6
cam smith,Cam Smith,9,62,,,10,,,,,,5,6,,1,16,,1,19,1,3
cameron maldonado,Cameron Maldonado,1,3,,,,,,,,,,,3,,,,,,,
cameron millar,Cameron Millar,1,3,,,,,,,,,,,3,,,,,,,
cameron nelson,Cameron Nelson,1,3,,,,,,,,,,,3,,,,,,,
cameron sullivan,Cameron Sullivan,1,3,,,,,,,,,3,,,,,,,,,
camilo diaz,Camilo Diaz,2,4,2,,2,,,,,,,,,,,,,,,
camilo doval,Camilo Doval,4,5,,,,,,2,,,,,,,1,,,1,,1
caminero,Caminero,3,3,,,,,,,,,,,,1,,,,1,,1
campbell,Campbell,1,1,,,,,,,,,,,,,,,,1,,
candelita,Candelita,1,1,,,,,,,,,,,,,,,1,,,
capri ortiz,Capri Ortiz,1,3,3,,,,,,,,,,,,,,,,,
carl radke,Carl Radke,1,1,,,,,,,,,,,,,,1,,,,
carl yastrzemski,Carl Yastrzemski,5,11,,,,,,2,1,,,,,,,,2,,5,1
carlos batista,Carlos Batista,1,1,,1,,,,,,,,,,,,,,,,
carlos beltran,Carlos Beltran,3,4,,,,,1,,,,,,,,,,1,2,,
carlos beltrán,Carlos Beltrán,3,3,,,,,,,,1,,,,1,,,,,1,
carlos carrasco,Carlos Carrasco,3,3,,,,,1,,1,1,,,,,,,,,,
carlos correa,Carlos Correa,16,59,1,1,,2,2,6,13,6,1,1,,2,1,6,12,1,2,2
carlos cortes,Carlos Cortes,2,3,,,,,,,,,,,,,,,,,1,2
carlos duran,Carlos Duran,2,4,,,,,,,,,,,,,3,,,1,,
carlos estevéz,Carlos Estevéz,1,1,,,,,,,,,,,,,,,,,1,
carlos estévez,Carlos Estévez,5,6,,,,,,1,1,,,,,,,,,1,1,2
carlos lagrange,Carlos Lagrange,2,4,,,,,,,,,,2,2,,,,,,,
carlos narvaez,Carlos Narvaez,3,3,,,,,,,,,,,,1,1,,,1,,
carlos narváez,Carlos Narváez,4,4,,,,,,,,,,,,1,1,,,,1,1
carlos peña,Carlos Peña,1,1,,,,,,,,,,,,,,1,,,,
carlos rodriguez,Carlos Rodriguez,3,4,,,,,,,,,,,,2,1,,,1,,
carlos rodón,Carlos Rodón,5,11,,,,,,,1,,,,,,,,1,4,1,4
carlos sanchez,Carlos Sanchez,2,3,2,1,,,,,,,,,,,,,,,,
carlos santana,Carlos Santana,3,3,,,,,,,,1,,,,,1,,,1,,
carlos silva,Carlos Silva,1,3,3,,,,,,,,,,,,,,,,,
carlos tavares,Carlos Tavares,2,3,,,,,,,,,2,1,,,,,,,,
carlson reed,Carlson Reed,1,1,1,,,,,,,,,,,,,,,,,
carlton fisk,Carlton Fisk,8,20,,,,,1,1,4,2,,,,1,,,6,,3,2
carmen mlodzinski,Carmen Mlodzinski,3,3,,,,1,1,1,,,,,,,,,,,,
caroline marks,Caroline Marks,1,1,,,,,,,,,,,,,,,,,,1
carpenter,Carpenter,1,1,,,,,,,,,,,,1,,,,,,
carroll,Carroll,2,2,,,,,,,,,,,,,,,1,1,,
carson benge,Carson Benge,3,13,,,6,,,,,,4,,3,,,,,,,
carson demartini,Carson DeMartini,1,3,,,3,,,,,,,,,,,,,,,
carson kelly,Carson Kelly,3,3,,,,,,,,1,,,,,,,,1,1,
carson mccusker,Carson McCusker,2,4,,,,,,,,,,,,,3,,,1,,
carson palmquist,Carson Palmquist,2,4,,,,,,,,,,,,,3,,,1,,
carson roccaforte,Carson Roccaforte,1,3,3,,,,,,,,,,,,,,,,,
carson rucker,Carson Rucker,1,3,3,,,,,,,,,,,,,,,,,
carson seymour,Carson Seymour,2,3,,,,,,,,,,,,,,,,,1,2
carson spiers,Carson Spiers,3,4,,,,2,1,,1,,,,,,,,,,,
carson whisenhunt,Carson Whisenhunt,3,10,3,,,,,,,,,,,,,,,,2,5
carson williams,Carson Williams,7,24,1,1,,,,,,,3,7,1,,,,,,2,9
carter,Carter,1,1,,,,,,,,,,,,,,,,1,,
carter holton,Carter Holton,1,3,,,3,,,,,,,,,,,,,,,
carter jensen,Carter Jensen,1,2,,,,,,,,,,,,,,,,,2,
carter johnson,Carter Johnson,2,4,,,4,,,,,,,,,,,,,,,
carter mathison,Carter Mathison,1,3,,,3,,,,,,,,,,,,,,,
casey cook,Casey Cook,1,3,,,3,,,,,,,,,,,,,,,
casey mize,Casey Mize,3,6,,,,,,,1,,,,,,,,,3,,2
casey saucke,Casey Saucke,1,3,,,3,,,,,,,,,,,,,,,
casey schmitt,Casey Schmitt,6,6,,,,1,,1,1,,,,,,,,1,,1,1
cavan biggio,Cavan Biggio,1,1,,,,,,1,,,,,,,,,,,,
cc sabathia,CC Sabathia,7,10,,,,,,2,2,,,,,2,1,,1,1,,1
cecil fielder,Cecil Fielder,3,4,,,,,,,2,,,,,,,,1,,,1
ceddanne rafaela,Ceddanne Rafaela,14,54,3,8,,5,5,4,7,7,2,,,1,1,,6,1,2,2
cedric mullins,Cedric Mullins,10,16,,,,2,,1,3,1,,,,1,2,1,3,1,1,
cesar quintas,Cesar Quintas,1,1,1,,,,,,,,,,,,,,,,,
cesar tovar,Cesar Tovar,1,2,,,,,,,,,,,,,,,2,,,
chad patrick,Chad Patrick,4,7,,,,,,,,,,1,,,3,,,2,,1
chad stevens,Chad Stevens,2,4,,,,,,,,,,,,,,,,,1,3
chan ho park,Chan Ho Park,3,6,,,,,,,,,,,,2,3,,1,,,
chandler pollard,Chandler Pollard,1,1,1,,,,,,,,,,,,,,,,,
chandler seagle,Chandler Seagle,2,2,,,,1,1,,,,,,,,,,,,,
chandler seagle rc,Chandler Seagle RC,1,1,,,,,,,,1,,,,,,,,,,
chandler simpson,Chandler Simpson,6,31,,,,,,,,,,1,,1,10,,,14,2,3
chandler welch,Chandler Welch,2,3,,,2,,,,,,1,,,,,,,,,
charles davalan,Charles Davalan,1,4,,,,,,,,,,,4,,,,,,,
charles mcadoo,Charles McAdoo,1,4,,,,,,,,,4,,,,,,,,,
charlie beilenson,Charlie Beilenson,1,2,,,2,,,,,,,,,,,,,,,
charlie blackmon,Charlie Blackmon,5,9,,,,1,,1,5,1,,,,,,,,1,,
charlie condon,Charlie Condon,3,31,,,,,,,,,13,11,7,,,,,,,
charlie gehringer,Charlie Gehringer,2,2,,,,,,1,1,,,,,,,,,,,
charlie morton,Charlie Morton,2,2,,,,,,1,,,,,,,,,,1,,
chas mccormick,Chas McCormick,4,9,,,,,,6,1,1,,,,,,,1,,,
chase allsup,Chase Allsup,1,2,,,2,,,,,,,,,,,,,,,
chase burns,Chase Burns,5,38,,,14,,,,,,7,1,,,,,,,4,12
chase davis,Chase Davis,2,5,4,1,,,,,,,,,,,,,,,,
chase delauter,Chase DeLauter,3,3,1,1,,,,,,,1,,,,,,,,,
chase dollander,Chase Dollander,4,24,,,,,,,,,,1,,,11,,,11,1,
chase hampton,Chase Hampton,2,3,,,,,,,,,2,1,,,,,,,,
chase harlan,Chase Harlan,1,3,,,3,,,,,,,,,,,,,,,
chase jaworsky,Chase Jaworsky,1,1,1,,,,,,,,,,,,,,,,,
chase lee,Chase Lee,2,4,,,,,,,,,,,,,3,,,1,,
chase meidroth,Chase Meidroth,4,12,,,,,,,,,,1,,,5,,,4,2,
chase mobley,Chase Mobley,1,3,,,,,,,,,3,,,,,,,,,
chase petty,Chase Petty,2,6,,,,,,,,,,,,,3,,,3,,
chase shores,Chase Shores,1,4,,,,,,,,,,,4,,,,,,,
chase shugart,Chase Shugart,3,4,,,,,,,,,,,,1,2,,,1,,
chase silseth,Chase Silseth,1,1,,,,,,,1,,,,,,,,,,,
chase utley,Chase Utley,8,13,,,,1,1,,2,2,,,,,1,,3,1,,2
chayce mcdermott,Chayce McDermott,3,5,,,,,,,,,,,,2,2,1,,,,
chen-wei lin,Chen-Wei Lin,1,3,,,,,,,,,3,,,,,,,,,
chicago cubs,Chicago Cubs,3,6,,,,,,1,,,,4,,,,,,,,1
chicago white sox,Chicago White Sox,3,4,,,,,,,1,,,2,,,,,1,,,
ching-hsien ko,Ching-Hsien Ko,2,4,,,,,,,,,,2,2,,,,,,,
chipper jones,Chipper Jones,10,45,,,,,2,7,8,1,,,,2,1,5,9,3,,7
chourio,Chourio,1,1,,,,,,,,,,,,1,,,,,,
chris bassitt,Chris Bassitt,3,3,,,,,,1,1,,,,,1,,,,,,
chris campos,Chris Campos,1,1,,,,,,,,,1,,,,,,,,,
chris cortez,Chris Cortez,1,3,,,3,,,,,,,,,,,,,,,
chris martin,Chris Martin,1,1,,,,,,,,1,,,,,,,,,,
chris murphy,Chris Murphy,3,4,,,,2,1,1,,,,,,,,,,,,
chris paddack,Chris Paddack,3,3,,,,,,,,1,,,,,1,,,1,,
chris roller,Chris Roller,2,3,,,,,2,,,1,,,,,,,,,,
chris roycroft,Chris Roycroft,1,1,,,,,1,,,,,,,,,,,,,
chris roycroft rc,Chris Roycroft RC,1,1,,,,,,,,1,,,,,,,,,,
chris sale,Chris Sale,11,25,,,,1,1,,1,3,1,,,4,1,1,8,2,2,
chris taylor,Chris Taylor,2,2,,,,,,1,,,,,,1,,,,,,
chris vallimont,Chris Vallimont,2,2,,,,1,1,,,,,,,,,,,,,
christian bethancourt,Christian Bethancourt,1,1,,,,,,1,,,,,,,,,,,,
christian encarnacion-stra,Christian Encarnacion-Stra,4,15,2,,,4,3,6,,,,,,,,,,,,
christian encarnacion-strand,Christian Encarnacion-Strand,3,5,,1,,,,,1,3,,,,,,,,,,
christian foutch,Christian Foutch,1,2,,,,,,,,,,,2,,,,,,,
christian koss,Christian Koss,2,5,,,,,,,,,,,,,3,,,2,,
christian montes de oca,Christian Montes De Oca,1,1,,,,,,,,,,,,,,,,,1,
christian moore,Christian Moore,5,38,,,13,,,,,,8,6,,,,,,,3,8
christian scott,Christian Scott,2,13,,,,,7,,,6,,,,,,,,,,
christian vázquez,Christian Vázquez,2,2,,,,,,,1,,,,,,,,,1,,
christian walker,Christian Walker,4,7,,,,,,4,,,,,,1,,,1,,1,
christian yelich,Christian Yelich,16,87,1,1,,4,3,16,11,10,1,1,,2,1,5,10,5,5,11
christoper morel,Christoper Morel,2,2,,,,,,,,1,,,,,,,1,,,
christopher familia,Christopher Familia,1,2,,2,,,,,,,,,,,,,,,,
christopher morel,Christopher Morel,10,30,1,,,4,1,10,3,2,,,,2,1,,5,,,1
christopher suero,Christopher Suero,1,2,,,,,,,,,,2,,,,,,,,
christy mathewson,Christy Mathewson,2,2,,,,,,1,,1,,,,,,,,,,
cincinnati reds,Cincinnati Reds,2,2,,,,,,1,,,,1,,,,,,,,
cj abrams,CJ Abrams,13,36,1,,,1,4,1,4,7,1,1,,1,,,3,2,3,7
cj alexander,CJ Alexander,2,4,,,,,,,,,,,,,2,,,2,,
cj gray,CJ Gray,1,2,,,,,,,,,,,2,,,,,,,
cj stroud,CJ Stroud,1,3,,,,,,,3,,,,,,,,,,,
clark candiotti,Clark Candiotti,1,2,,,2,,,,,,,,,,,,,,,
clarke schmidt,Clarke Schmidt,2,3,,,,,,2,,,,,,,,,1,,,
clay holmes,Clay Holmes,6,10,,,,,2,1,,4,,,,,1,,,1,,1
clayton andrews,Clayton Andrews,2,2,,,,1,1,,,,,,,,,,,,,
clayton andrews rc,Clayton Andrews RC,1,1,,,,,,,,1,,,,,,,,,,
clayton beeter,Clayton Beeter,2,5,,,,,4,,,1,,,,,,,,,,
clayton campbell,Clayton Campbell,1,1,,1,,,,,,,,,,,,,,,,
clayton kershaw,Clayton Kershaw,13,64,1,,,4,5,8,9,6,,,,1,2,3,12,7,2,4
cleveland guardians,Cleveland Guardians,3,4,,,,,,,1,,,2,,,,,1,,,
coach al,Coach Al,1,1,,,,,,,,,,,,,,1,,,,
cobb hightower,Cobb Hightower,1,3,,,,,,,,,3,,,,,,,,,
coby mayo,Coby Mayo,9,65,,,,,,,,,11,4,,16,5,8,9,10,1,1
coco montes,Coco Montes,3,5,,,,2,1,2,,,,,,,,,,,,
cody bellinger,Cody Bellinger,13,40,,,,2,1,1,7,11,1,1,,1,,1,8,3,2,1
cody bowker,Cody Bowker,1,2,,,,,,,,,,,2,,,,,,,
cody bradford,Cody Bradford,1,1,,,,,,,,1,,,,,,,,,,
cody freeman,Cody Freeman,3,6,,,,,,,,,3,,,,,,,,1,2
cody miller,Cody Miller,1,3,,,,,,,,,,,3,,,,,,,
colby thomas,Colby Thomas,2,10,,,,,,,,,,,,,,,,,2,8
cole fontenelle,Cole Fontenelle,1,3,,,,,,,,,3,,,,,,,,,
cole foster,Cole Foster,1,2,2,,,,,,,,,,,,,,,,,
cole henry,Cole Henry,2,4,,,,,,,,,,,,,3,,,1,,
cole irvin,Cole Irvin,1,1,,,,,,,,1,,,,,,,,,,
cole mathis,Cole Mathis,1,4,,,4,,,,,,,,,,,,,,,
cole messina,Cole Messina,1,3,,,3,,,,,,,,,,,,,,,
cole ragans,Cole Ragans,9,20,,,,2,3,1,1,8,1,,,1,,,2,,1,
cole schoenwetter,Cole Schoenwetter,1,1,1,,,,,,,,,,,,,,,,,
cole wilcox,Cole Wilcox,1,1,,,,,,,,,,,,,,,,,1,
cole winn,Cole Winn,2,3,,,,,2,,,1,,,,,,,,,,
cole young,Cole Young,5,11,4,2,,,,,,,1,,,,,,,,1,3
colin holderman,Colin Holderman,1,1,,,,,,,,1,,,,,,,,,,
colin houck,Colin Houck,2,3,3,,,,,,,,,,,,,,,,,
colin rea,Colin Rea,2,2,,,,,,,,1,,,,,,,,1,,
colin selby,Colin Selby,3,3,,,,1,1,,1,,,,,,,,,,,
colin yeaman,Colin Yeaman,1,3,,,,,,,,,,,3,,,,,,,
colorado rockies,Colorado Rockies,3,5,,,,,,,1,,,3,,,,,1,,,
colson montgomery,Colson Montgomery,6,31,5,9,,,,,,,1,2,,,,,,,5,9
colt emerson,Colt Emerson,4,13,4,1,3,,,,,,5,,,,,,,,,
colt keith,Colt Keith,9,39,2,3,,4,12,,,8,,,,,3,,5,1,,1
colton cowser,Colton Cowser,14,63,2,6,,8,7,8,4,11,1,,,2,2,,4,5,1,2
colton gordon,Colton Gordon,2,4,,,,,,,,,,,,,3,,,1,,
colton ledbetter,Colton Ledbetter,1,3,3,,,,,,,,,,,,,,,,,
connect swatch collection,CONNECT SWATCH COLLECTION,2,2,,,,,,,,,,,,,,,1,1,,
connelly early,Connelly Early,2,3,1,,,,,,,,,,,,,,,,2,
connie mack,Connie Mack,1,1,,,,,,1,,,,,,,,,,,,
connor foley,Connor Foley,1,3,,,3,,,,,,,,,,,,,,,
connor gillispie,Connor Gillispie,3,4,,,,,,,,,,,,2,1,,1,,,
connor joe,Connor Joe,2,2,,,,,,1,,,,,,,,,,1,,
connor kaiser,Connor Kaiser,2,2,,,,1,1,,,,,,,,,,,,,
connor norby,Connor Norby,8,20,,,,,,,,,3,,,6,4,2,2,1,1,1
connor o'halloran,Connor O'Halloran,1,1,1,,,,,,,,,,,,,,,,,
connor phillips,Connor Phillips,5,11,,,,2,2,1,4,2,,,,,,,,,,
connor thomas,Connor Thomas,2,4,,,,,,,,,,,,,3,,,1,,
connor wong,Connor Wong,2,2,,,,,,1,,,,,,1,,,,,,
conor essenburg,Conor Essenburg,1,3,,,,,,,,,,,3,,,,,,,
conrad cason,Conrad Cason,1,3,,,,,,,,,3,,,,,,,,,
contreras,Contreras,2,2,,,,,,,,,,,,,,,,1,,1
cooper flemming,Cooper Flemming,1,3,,,,,,,,,,,3,,,,,,,
cooper pratt,Cooper Pratt,5,13,3,,2,,,,,,3,3,2,,,,,,,
corbin burnes,Corbin Burnes,12,34,1,,,1,4,8,5,8,,1,,1,,1,1,2,1,
corbin carroll,Corbin Carroll,16,128,2,4,,9,7,16,16,11,2,1,,6,5,8,15,8,3,15
corey cousin,Corey Cousin,1,1,,,,,,,,,,1,,,,,,,,
corey seager,Corey Seager,15,81,1,2,,5,2,17,12,10,1,2,,7,1,6,10,,2,3
cory lewis,Cory Lewis,1,3,,,,,,,,,3,,,,,,,,,
craig biggio,Craig Biggio,7,19,,,,1,,4,5,,,,,1,,,1,4,,3
craig kimbrel,Craig Kimbrel,3,3,,,,,,1,1,1,,,,,,,,,,
craig yoho,Craig Yoho,2,5,,,,,,,,,,,,,3,,,2,,
crews,Crews,4,4,,,,,,,,,,,,,,1,1,1,,1
cris rodriguez,Cris Rodriguez,1,2,,,,,,,,,,2,,,,,,,,
cristhian vaquero,Cristhian Vaquero,2,4,2,2,,,,,,,,,,,,,,,,
cristian arguelles,Cristian Arguelles,1,2,,,,,,,,,,2,,,,,,,,
cristian javier,Cristian Javier,4,6,,,,,,3,1,,,,,,,,1,,1,
cristian mena,Cristian Mena,3,6,,,,,,,,,,,,2,3,,1,,,
cristian pache,Cristian Pache,1,1,,,,,,,1,,,,,,,,,,,
cristopher acosta,Cristopher Acosta,1,2,,,,,,,,,,2,,,,,,,,
cristopher larez,Cristopher Larez,1,1,,1,,,,,,,,,,,,,,,,
cristopher polanco,Cristopher Polanco,1,1,,,,,,,,,,1,,,,,,,,
cristopher sánchez,Cristopher Sánchez,4,6,,,,,1,,,2,,,,,,,,,1,2
crow-armstrong,Crow-Armstrong,1,1,,,,,,,,,,,,,,,1,,,
cruz,Cruz,1,1,,,,,,,,,,,,,,,,,,1
curley martha,Curley Martha,2,4,,2,2,,,,,,,,,,,,,,,
curtis mead,Curtis Mead,9,35,4,5,,9,4,5,3,3,,,,,,,,1,1,
cy young,Cy Young,2,2,,,,,,1,1,,,,,,,,,,,
césar prieto,César Prieto,2,2,,,,,,,,,,,,,,,,,1,1
d'angelo ortiz,D'Angelo Ortiz,1,3,,,,,,,,,3,,,,,,,,,
daddy yankee,Daddy Yankee,1,1,,,,,,,1,,,,,,,,,,,
daiber de los santos,Daiber De Los Santos,2,4,,2,2,,,,,,,,,,,,,,,
dairon blanco,Dairon Blanco,2,2,,,,,,,,1,,,,,,,,1,,
daiverson gutierrez,Daiverson Gutierrez,2,4,2,2,,,,,,,,,,,,,,,,
dakota hudson,Dakota Hudson,2,2,,,,,1,,,1,,,,,,,,,,
dakota jordan,Dakota Jordan,2,5,,,3,,,,,,,,2,,,,,,,
dale murphy,Dale Murphy,9,15,,,,,1,1,3,2,,,,1,,1,2,,2,2
dalton rushing,Dalton Rushing,8,36,1,,2,,,,,,1,2,,,8,,,19,1,2
dameury pena,Dameury Pena,1,2,,2,,,,,,,,,,,,,,,,
dane dunning,Dane Dunning,1,2,,,,,,2,,,,,,,,,,,,
dane myers,Dane Myers,7,9,,,,2,1,2,1,,,,,,,,,1,1,1
daniel bard,Daniel Bard,1,1,,,,,,1,,,,,,,,,,,,
daniel eagen,Daniel Eagen,1,3,,,3,,,,,,,,,,,,,,,
daniel espino,Daniel Espino,1,1,1,,,,,,,,,,,,,,,,,
daniel hudson,Daniel Hudson,2,2,,,,,1,,,1,,,,,,,,,,
daniel lynch,Daniel Lynch,1,1,,,,,,,1,,,,,,,,,,,
daniel palencia,Daniel Palencia,5,6,,,,1,1,2,1,,,,,,,,,,,1
daniel robert,Daniel Robert,3,3,,,,,,,,,,,,1,1,,,1,,
daniel schneemann,Daniel Schneemann,4,8,,,,,,,,,,,,2,3,,2,,,1
daniel susac,Daniel Susac,1,3,3,,,,,,,,,,,,,,,,,
daniel vogelbach,Daniel Vogelbach,2,2,,,,,,1,,1,,,,,,,,,,
danny coulombe,Danny Coulombe,1,1,,,,,,,,1,,,,,,,,,,
danny jansen,Danny Jansen,4,4,,,,,,1,,,,,,,1,,,1,1,
dansby swanson,Dansby Swanson,13,41,1,,,2,1,6,10,2,,,,1,,1,8,5,1,3
dante nori,Dante Nori,2,6,,,4,,,,,,,,2,,,,,,,
darell hernaiz,Darell Hernaiz,4,9,,,,,2,,,5,,,,,,,1,,1,
darison garcia,Darison Garcia,1,1,,,,,,,,,,1,,,,,,,,
darius vines,Darius Vines,5,7,,,,2,1,1,2,1,,,,,,,,,,
darling fernandez,Darling Fernandez,1,2,,2,,,,,,,,,,,,,,,,
darren baker,Darren Baker,4,8,,,,,,,,,,,,3,3,,1,1,,
darryl strawberry,Darryl Strawberry,7,19,,,,,,2,3,3,,,,2,,,4,2,,3
dashawn keirsey,DaShawn Keirsey,4,5,,,,,,,,,,,,2,1,,1,1,,
daulton varsho,Daulton Varsho,6,10,,,,1,,2,2,,,,,,,,2,,1,2
dave lemanczyk,Dave Lemanczyk,1,1,,,,,,,,,,,,,,,,,1,
dave parker,Dave Parker,3,3,,,,,,,,,,,,1,,,1,,1,
dave stewart,Dave Stewart,4,5,,,,,,1,2,,,,,,,,,1,,1
dave winfield,Dave Winfield,8,13,,,,1,,,1,2,,,,1,,,1,3,3,1
david banuelos,David Banuelos,1,1,,,,,1,,,,,,,,,,,,,
david bañuelos,David Bañuelos,1,1,,,,,1,,,,,,,,,,,,,
david bañuelos rc,David Bañuelos RC,1,1,,,,,,,,1,,,,,,,,,,
david bednar,David Bednar,6,8,,,,1,,3,,,,,,,1,,1,,1,1
david cone,David Cone,1,1,,,,,,,,,,,,,,,1,,,
david eckstein,David Eckstein,1,1,,,,,,,1,,,,,,,,,,,
david festa,David Festa,6,16,,,,,,,,,1,,,3,3,2,4,3,,
david fry,David Fry,4,5,,,,,1,,1,2,,,,,,,1,,,
david guzman,David Guzman,1,3,3,,,,,,,,,,,,,,,,,
david hagaman,David Hagaman,1,1,,,,,,,,,1,,,,,,,,,
david hamilton,David Hamilton,5,8,,,,2,2,2,1,,,,,,,,,,1,
david justice,David Justice,2,5,,,,,,,4,,,,,,,,,1,,
david morgan,David Morgan,2,3,,,,,,,,,,,,,2,,,1,,
david ortiz,David Ortiz,11,50,,,,6,1,4,7,9,,1,,3,,1,9,2,,7
david ortiz jr.,David Ortiz Jr.,2,3,,,,,,,,,2,1,,,,,,,,
david peterson,David Peterson,3,4,,,,,,,,1,,,,,,,,1,,2
david robertson,David Robertson,1,1,,,,,,,,1,,,,,,,,,,
david sandlin,David Sandlin,1,2,,,,,,,,,,2,,,,,,,,
david wright,David Wright,7,22,,,,,1,3,6,,,,,2,,,3,3,,4
davis daniel,Davis Daniel,3,3,,,,1,1,,1,,,,,,,,,,,
davis martin,Davis Martin,2,2,,,,,,,,,,,,,,,,1,,1
davis schneider,Davis Schneider,8,21,,2,,2,2,4,2,6,,,,,,,2,,1,
