card_number,player,card_type,card_type_display
BTP-14,Jac Caglianone,Bowman Scouts' Top 100,BTP
BTP-15,JJ Wetherholt,Bowman Scouts' Top 100,BTP
BTP-16,Noah Schultz,Bowman Scouts' Top 100,BTP
BTP-17,Chase Burns,Bowman Scouts' Top 100,BTP
BTP-18,Sebastian Walcott,Bowman Scouts' Top 100,BTP
BTP-19,Andrew Painter,Bowman Scouts' Top 100,BTP
BTP-20,Leo De Vries,Bowman Scouts' Top 100,BTP
BTP-21,Josue De Paula,Bowman Scouts' Top 100,BTP
BTP-22,Kyle Teel,Bowman Scouts' Top 100,BTP
BTP-23,Aidan Miller,Bowman Scouts' Top 100,BTP
BTP-24,Matt Shaw,Bowman Scouts' Top 100,BTP
BTP-25,Kevin McGonigle,Bowman Scouts' Top 100,BTP
BTP-26,Emmanuel Rodriguez,Bowman Scouts' Top 100,BTP
BTP-27,Bryce Eldridge,Bowman Scouts' Top 100,BTP
BTP-28,Robert Calaz,Bowman Scouts' Top 100,BTP
BTP-29,Colson Montgomery,Bowman Scouts' Top 100,BTP
BTP-30,Xavier Isaac,Bowman Scouts' Top 100,BTP
BTP-31,Chase DeLauter,Bowman Scouts' Top 100,BTP
BTP-32,Nick Kurtz,Bowman Scouts' Top 100,BTP
BTP-33,Hagen Smith,Bowman Scouts' Top 100,BTP
BTP-34,Thomas White,Bowman Scouts' Top 100,BTP
BTP-35,Brandon Sproat,Bowman Scouts' Top 100,BTP
BTP-36,Emil Morales,Bowman Scouts' Top 100,BTP
BTP-37,Jacob Misiorowski,Bowman Scouts' Top 100,BTP
BTP-38,Tink Hence,Bowman Scouts' Top 100,BTP
BTP-39,Owen Caissie,Bowman Scouts' Top 100,BTP
BTP-40,Cole Young,Bowman Scouts' Top 100,BTP
BTP-41,Dalton Rushing,Bowman Scouts' Top 100,BTP
BTP-42,Alejandro Rosario,Bowman Scouts' Top 100,BTP
BTP-43,Jeferson Quero,Bowman Scouts' Top 100,BTP
BTP-44,Lazaro Montes,Bowman Scouts' Top 100,BTP
BTP-45,Konnor Griffin,Bowman Scouts' Top 100,BTP
BTP-46,Christian Moore,Bowman Scouts' Top 100,BTP
BTP-47,Justin Crawford,Bowman Scouts' Top 100,BTP
BTP-48,Harry Ford,Bowman Scouts' Top 100,BTP
BTP-49,Cade Horton,Bowman Scouts' Top 100,BTP
BTP-50,Braden Montgomery,Bowman Scouts' Top 100,BTP
BTP-51,Zyhir Hope,Bowman Scouts' Top 100,BTP
BTP-52,Edgar Quero,Bowman Scouts' Top 100,BTP
BTP-53,Bryce Rainer,Bowman Scouts' Top 100,BTP
BTP-54,Blake Mitchell,Bowman Scouts' Top 100,BTP
BTP-55,Moises Ballesteros,Bowman Scouts' Top 100,BTP
BTP-56,Cam Smith,Bowman Scouts' Top 100,BTP
BTP-57,Franklin Arias,Bowman Scouts' Top 100,BTP
BTP-58,Jett Williams,Bowman Scouts' Top 100,BTP
BTP-59,Spencer Jones,Bowman Scouts' Top 100,BTP
BTP-60,Drew Gilbert,Bowman Scouts' Top 100,BTP
BTP-61,Noble Meyer,Bowman Scouts' Top 100,BTP
BTP-62,Eduardo Quintero,Bowman Scouts' Top 100,BTP
BTP-63,Thayron Liranzo,Bowman Scouts' Top 100,BTP
BTP-64,Cooper Pratt,Bowman Scouts' Top 100,BTP
BTP-65,Drake Baldwin,Bowman Scouts' Top 100,BTP
BTP-66,Luke Keaschall,Bowman Scouts' Top 100,BTP
BTP-67,Termarr Johnson,Bowman Scouts' Top 100,BTP
BTP-68,Jacob Melton,Bowman Scouts' Top 100,BTP
BTP-69,Jaison Chourio,Bowman Scouts' Top 100,BTP
BTP-70,Agustin Ramirez,Bowman Scouts' Top 100,BTP
BTP-71,Jonny Farmelo,Bowman Scouts' Top 100,BTP
BTP-72,Slade Caldwell,Bowman Scouts' Top 100,BTP
BTP-73,Seaver King,Bowman Scouts' Top 100,BTP
BTP-74,PJ Morlando,Bowman Scouts' Top 100,BTP
BTP-75,Tommy Troy,Bowman Scouts' Top 100,BTP
BTP-76,Theo Gillen,Bowman Scouts' Top 100,BTP
BTP-77,Angel Genao,Bowman Scouts' Top 100,BTP
BTP-78,James Tibbs III,Bowman Scouts' Top 100,BTP
BTP-79,Brayden Taylor,Bowman Scouts' Top 100,BTP
BTP-80,Felnin Celesten,Bowman Scouts' Top 100,BTP
BTP-81,Kyle DeBarge,Bowman Scouts' Top 100,BTP
BTP-82,Josue Briceno,Bowman Scouts' Top 100,BTP
BTP-83,Joendry Vargas,Bowman Scouts' Top 100,BTP
BTP-84,Welbyn Francisca,Bowman Scouts' Top 100,BTP
BTP-85,Cam Caminiti,Bowman Scouts' Top 100,BTP
BTP-86,Ryan Clifford,Bowman Scouts' Top 100,BTP
BTP-87,Trey Yesavage,Bowman Scouts' Top 100,BTP
BTP-88,George Klassen,Bowman Scouts' Top 100,BTP
BTP-89,Jose Perdomo,Bowman Scouts' Top 100,BTP
BTP-90,Jefferson Rojas,Bowman Scouts' Top 100,BTP
BTP-91,Alex Freeland,Bowman Scouts' Top 100,BTP
BTP-92,Ralphy Velazquez,Bowman Scouts' Top 100,BTP
BTP-93,Paulino Santana,Bowman Scouts' Top 100,BTP
BTP-94,James Triantos,Bowman Scouts' Top 100,BTP
BTP-95,Cam Collier,Bowman Scouts' Top 100,BTP
BTP-96,Druw Jones,Bowman Scouts' Top 100,BTP
BTP-97,Travis Sykora,Bowman Scouts' Top 100,BTP
BTP-98,Yophery Rodriguez,Bowman Scouts' Top 100,BTP
BTP-99,Gary Gill Hill,Bowman Scouts' Top 100,BTP
BTP-100,Carson Benge,Bowman Scouts' Top 100,BTP
BS-1,Dylan Crews,Bowman Spotlights,BS
BS-2,Jacob Wilson,Bowman Spotlights,BS
BS-3,Bobby Witt Jr.,Bowman Spotlights,BS
BS-4,Jesus Made,Bowman Spotlights,BS
BS-5,Roki Sasaki,Bowman Spotlights,BS
BS-6,Hyeseong Kim,Bowman Spotlights,BS
BS-7,PJ Morlando,Bowman Spotlights,BS
BS-8,Luisangel Acuña,Bowman Spotlights,BS
BS-9,Shohei Ohtani,Bowman Spotlights,BS
BS-10,JJ Wetherholt,Bowman Spotlights,BS
BS-11,James Wood,Bowman Spotlights,BS
BS-12,Charlie Condon,Bowman Spotlights,BS
BS-13,Coby Mayo,Bowman Spotlights,BS
BS-14,Ronald Acuña Jr.,Bowman Spotlights,BS
BS-15,Kumar Rocker,Bowman Spotlights,BS
CPA-AA,Ashly Andujar,Chrome Prospect Autographs,CPA
CPA-AE,Aroon Escobar,Chrome Prospect Autographs,CPA
CPA-AES,Aron Estrada,Chrome Prospect Autographs,CPA
CPA-AM,Alex Mooney,Chrome Prospect Autographs,CPA
CPA-AMO,Andrew Morris,Chrome Prospect Autographs,CPA
CPA-BH,Brody Hopkins,Chrome Prospect Autographs,CPA
CPA-BM,Braden Montgomery,Chrome Prospect Autographs,CPA
CPA-BWA,Bo Walker,Chrome Prospect Autographs,CPA
CPA-CB,Chase Burns,Chrome Prospect Autographs,CPA
CPA-CC,Charlie Condon,Chrome Prospect Autographs,CPA
CPA-CCN,Conrad Cason,Chrome Prospect Autographs,CPA
CPA-CF,Cole Fontenelle,Chrome Prospect Autographs,CPA
CPA-CFR,Cody Freeman,Chrome Prospect Autographs,CPA
CPA-CHI,Cobb Hightower,Chrome Prospect Autographs,CPA
CPA-CKE,Caden Kendle,Chrome Prospect Autographs,CPA
CPA-CL,Chen-Wei Lin,Chrome Prospect Autographs,CPA
CPA-CLE,Cory Lewis,Chrome Prospect Autographs,CPA
CPA-CLO,Caleb Lomavita,Chrome Prospect Autographs,CPA
CPA-CMA,Charles McAdoo,Chrome Prospect Autographs,CPA
CPA-CMO,Christian Moore,Chrome Prospect Autographs,CPA
CPA-CMY,Chase Mobley,Chrome Prospect Autographs,CPA
CPA-CS,Cameron Sullivan,Chrome Prospect Autographs,CPA
CPA-CSM,Cam Smith,Chrome Prospect Autographs,CPA
CPA-DF,Dylan Fien,Chrome Prospect Autographs,CPA
CPA-DFU,Didier Fuentes,Chrome Prospect Autographs,CPA
CPA-DO,D'Angelo Ortiz,Chrome Prospect Autographs,CPA
CPA-EGO,Esteban Gonzalez,Chrome Prospect Autographs,CPA
CPA-EM,Esteban Mejia,Chrome Prospect Autographs,CPA
CPA-EP,Esmith Pineda,Chrome Prospect Autographs,CPA
CPA-EPI,Émilien Pitre,Chrome Prospect Autographs,CPA
CPA-EPZ,Edgleen Perez,Chrome Prospect Autographs,CPA
CPA-EQ,Eduardo Quintero,Chrome Prospect Autographs,CPA
CPA-EU,Engelth Urena,Chrome Prospect Autographs,CPA
CPA-FA,Franklin Arias,Chrome Prospect Autographs,CPA
CPA-FL,Fabian Lopez,Chrome Prospect Autographs,CPA
CPA-FM,Franyerber Montilla,Chrome Prospect Autographs,CPA
CPA-GB,Gregory Barrios,Chrome Prospect Autographs,CPA
CPA-GG,Gary Gill Hill,Chrome Prospect Autographs,CPA
CPA-GK,George Klassen,Chrome Prospect Autographs,CPA
CPA-HA,Hayden Alvarez,Chrome Prospect Autographs,CPA
CPA-HC,Humberto Cruz,Chrome Prospect Autographs,CPA
CPA-HJ,Hyun-Seok Jang,Chrome Prospect Autographs,CPA
CPA-HU,Hyungchan Um,Chrome Prospect Autographs,CPA
CPA-IC,Ichiro Cano Hernandez,Chrome Prospect Autographs,CPA
CPA-JB,Josue Briceno,Chrome Prospect Autographs,CPA
CPA-JBR,Jacob Bresnahan,Chrome Prospect Autographs,CPA
CPA-JCA,Jac Caglianone,Chrome Prospect Autographs,CPA
CPA-JF,Jadyn Fielder,Chrome Prospect Autographs,CPA
CPA-JGA,Jhostynxon Garcia,Chrome Prospect Autographs,CPA
CPA-JHU,Jackson Humphries,Chrome Prospect Autographs,CPA
CPA-JL,Jhonny Level,Chrome Prospect Autographs,CPA
CPA-JLG,Jonathon Long,Chrome Prospect Autographs,CPA
CPA-JLI,Jack Lines,Chrome Prospect Autographs,CPA
CPA-JLO,Jesus Lopez,Chrome Prospect Autographs,CPA
CPA-JLU,Jansel Luis,Chrome Prospect Autographs,CPA
CPA-JM,Jesus Made,Chrome Prospect Autographs,CPA
CPA-JMO,Javier Mogollon,Chrome Prospect Autographs,CPA
CPA-JP,Jose Pirela,Chrome Prospect Autographs,CPA
CPA-JPY,Jack Penney,Chrome Prospect Autographs,CPA
CPA-JSU,Jared Sundstrom,Chrome Prospect Autographs,CPA
CPA-JT,Jesus Tillero,Chrome Prospect Autographs,CPA
CPA-JTO,Jonah Tong,Chrome Prospect Autographs,CPA
CPA-JU,Jhonayker Ugarte,Chrome Prospect Autographs,CPA
CPA-JV,Jancel Villarroel,Chrome Prospect Autographs,CPA
CPA-JVA,Javier Vaz,Chrome Prospect Autographs,CPA
CPA-JW,JJ Wetherholt,Chrome Prospect Autographs,CPA
CPA-KC,Kevyn Castillo,Chrome Prospect Autographs,CPA
CPA-KD,Kyle DeBarge,Chrome Prospect Autographs,CPA
CPA-KDW,Khadim Diaw,Chrome Prospect Autographs,CPA
CPA-KG,Konnor Griffin,Chrome Prospect Autographs,CPA
CPA-KM,Kevin McGonigle,Chrome Prospect Autographs,CPA
CPA-LD,Leo De Vries,Chrome Prospect Autographs,CPA
CPA-LM,Luis Merejo,Chrome Prospect Autographs,CPA
CPA-LP,Luis Pena,Chrome Prospect Autographs,CPA
CPA-LR,Lucas Ramirez,Chrome Prospect Autographs,CPA
CPA-MJ,Mitch Jebb,Chrome Prospect Autographs,CPA
CPA-MMO,Malcolm Moore,Chrome Prospect Autographs,CPA
CPA-MV,Mike Vasil,Chrome Prospect Autographs,CPA
CPA-MW,Matt Wilkinson,Chrome Prospect Autographs,CPA
CPA-NK,Nick Kurtz,Chrome Prospect Autographs,CPA
CPA-NM,Naibel Mariano,Chrome Prospect Autographs,CPA
CPA-NN,Nate Nankil,Chrome Prospect Autographs,CPA
CPA-PE,Payton Eeles,Chrome Prospect Autographs,CPA
CPA-PM,PJ Morlando,Chrome Prospect Autographs,CPA
CPA-QM,Quinn Mathews,Chrome Prospect Autographs,CPA
CPA-RF,Rafael Flores,Chrome Prospect Autographs,CPA
CPA-RM,Richard Matic,Chrome Prospect Autographs,CPA
CPA-RY,Ricardo Yan,Chrome Prospect Autographs,CPA
CPA-SC,Slade Caldwell,Chrome Prospect Autographs,CPA
CPA-SE,Steven Echavarria,Chrome Prospect Autographs,CPA
CPA-SK,Sean Keys,Chrome Prospect Autographs,CPA
CPA-SS,Sammy Stafura,Chrome Prospect Autographs,CPA
CPA-SW,Sebastian Walcott,Chrome Prospect Autographs,CPA
CPA-TB,Travis Bazzana,Chrome Prospect Autographs,CPA
CPA-TC,Tsung-Che Cheng,Chrome Prospect Autographs,CPA
CPA-TW,Thomas White,Chrome Prospect Autographs,CPA
CPA-VR,Victor Rodrigues,Chrome Prospect Autographs,CPA
CPA-WJ,Walker Jenkins,Chrome Prospect Autographs,CPA
CPA-WJA,Walker Janek,Chrome Prospect Autographs,CPA
CPA-WP,Wen-Hui Pan,Chrome Prospect Autographs,CPA
CPA-WS,Winston Santos,Chrome Prospect Autographs,CPA
CPA-WSI,Will Simpson,Chrome Prospect Autographs,CPA
CPA-YC,Yeremi Cabrera,Chrome Prospect Autographs,CPA
CPA-YR,Yophery Rodriguez,Chrome Prospect Autographs,CPA
CPA-ZH,Zyhir Hope,Chrome Prospect Autographs,CPA
CRA-CM,Coby Mayo,Chrome Rookie Autographs,CRA
CRA-DC,Dylan Crews,Chrome Rookie Autographs,CRA
CRA-JO,Jackson Jobe,Chrome Rookie Autographs,CRA
CRA-JW,James Wood,Chrome Rookie Autographs,CRA
CRA-KA,Kevin Alcántara,Chrome Rookie Autographs,CRA
CRA-KR,Kumar Rocker,Chrome Rookie Autographs,CRA
CRA-LA,Luisangel Acuña,Chrome Rookie Autographs,CRA
CRA-RL,Rhett Lowder,Chrome Rookie Autographs,CRA
CRA-RS,Roki Sasaki,Chrome Rookie Autographs,CRA
CRA-SS,Spencer Schwellenbach,Chrome Rookie Autographs,CRA
CRA-SW,Shay Whitcomb,Chrome Rookie Autographs,CRA
BWC-1,Jesus Made,Crystalized,BWC
BWC-2,Jac Caglianone,Crystalized,BWC
BWC-3,Jacob Wilson,Crystalized,BWC
BWC-4,Travis Bazzana,Crystalized,BWC
BWC-5,Hagen Smith,Crystalized,BWC
BWC-6,Coby Mayo,Crystalized,BWC
BWC-7,Charlie Condon,Crystalized,BWC
BWC-8,Walker Jenkins,Crystalized,BWC
BWC-9,Roki Sasaki,Crystalized,BWC
BWC-10,Marcelo Mayer,Crystalized,BWC
BWC-11,Luisangel Acuña,Crystalized,BWC
BWC-12,Dylan Crews,Crystalized,BWC
BWC-13,JJ Wetherholt,Crystalized,BWC
BWC-14,Carson Williams,Crystalized,BWC
BWC-15,James Wood,Crystalized,BWC
GL-1,Lazaro Montes,Greatness Loading,GL
GL-2,Coby Mayo,Greatness Loading,GL
GL-3,Kevin Alcántara,Greatness Loading,GL
GL-4,Cam Smith,Greatness Loading,GL
GL-5,Bryce Rainer,Greatness Loading,GL
GL-6,Hagen Smith,Greatness Loading,GL
GL-7,Charlie Condon,Greatness Loading,GL
GL-8,Travis Bazzana,Greatness Loading,GL
GL-9,Kevin McGonigle,Greatness Loading,GL
GL-10,Spencer Schwellenbach,Greatness Loading,GL
GL-11,Luisangel Acuña,Greatness Loading,GL
GL-12,Leo De Vries,Greatness Loading,GL
GL-13,Konnor Griffin,Greatness Loading,GL
GL-14,Brooks Lee,Greatness Loading,GL
GL-15,Kyle Teel,Greatness Loading,GL
GL-16,Jacob Wilson,Greatness Loading,GL
GL-17,JJ Wetherholt,Greatness Loading,GL
GL-18,Dylan Crews,Greatness Loading,GL
GL-19,Christian Moore,Greatness Loading,GL
GL-20,James Wood,Greatness Loading,GL
GL-21,Jac Caglianone,Greatness Loading,GL
GL-22,Thomas Saggese,Greatness Loading,GL
GL-23,Roki Sasaki,Greatness Loading,GL
GL-24,Walker Jenkins,Greatness Loading,GL
GL-25,Bryce Eldridge,Greatness Loading,GL
HS-1,JJ Wetherholt,Hobby Stars,HS
HS-2,Jackson Holliday,Hobby Stars,HS
HS-3,Jackson Chourio,Hobby Stars,HS
HS-4,Shohei Ohtani,Hobby Stars,HS
HS-5,James Wood,Hobby Stars,HS
HS-6,Mike Trout,Hobby Stars,HS
HS-7,Travis Bazzana,Hobby Stars,HS
HS-8,Bobby Witt Jr.,Hobby Stars,HS
HS-9,Roki Sasaki,Hobby Stars,HS
HS-10,Ronald Acuña Jr.,Hobby Stars,HS
HS-11,Aaron Judge,Hobby Stars,HS
HS-12,Dylan Crews,Hobby Stars,HS
HS-13,Paul Skenes,Hobby Stars,HS
HS-14,Charlie Condon,Hobby Stars,HS
HS-15,Elly De La Cruz,Hobby Stars,HS
HSA-BW,Bobby Witt Jr.,Hobby Stars Autographs,HSA
HSA-CC,Charlie Condon,Hobby Stars Autographs,HSA
HSA-DC,Dylan Crews,Hobby Stars Autographs,HSA
HSA-ED,Elly De La Cruz,Hobby Stars Autographs,HSA
HSA-JC,Jackson Chourio,Hobby Stars Autographs,HSA
HSA-JH,Jackson Holliday,Hobby Stars Autographs,HSA
HSA-JJW,JJ Wetherholt,Hobby Stars Autographs,HSA
HSA-JW,James Wood,Hobby Stars Autographs,HSA
HSA-MT,Mike Trout,Hobby Stars Autographs,HSA
HSA-PS,Paul Skenes,Hobby Stars Autographs,HSA
HSA-RA,Ronald Acuña Jr.,Hobby Stars Autographs,HSA
HSA-TB,Travis Bazzana,Hobby Stars Autographs,HSA
CPR-SC,Steve Carlton,Retrofractor Autographs,CPR
BCP-151,Brooks Robinson,Retrofractors,Retro
BCP-152,Steve Carlton,Retrofractors,Retro
RR-1,Adael Amador,Rockstar Rookies,RR
RR-2,Trey Sweeney,Rockstar Rookies,RR
RR-3,Hyeseong Kim,Rockstar Rookies,RR
RR-4,Rhett Lowder,Rockstar Rookies,RR
RR-5,Jace Jung,Rockstar Rookies,RR
RR-6,Kumar Rocker,Rockstar Rookies,RR
RR-7,Coby Mayo,Rockstar Rookies,RR
RR-8,Rece Hinds,Rockstar Rookies,RR
RR-9,Brooks Lee,Rockstar Rookies,RR
RR-10,Jackson Jobe,Rockstar Rookies,RR
RR-11,James Wood,Rockstar Rookies,RR
RR-12,Jhonkensy Noel,Rockstar Rookies,RR
RR-13,Connor Norby,Rockstar Rookies,RR
RR-14,Drew Thorpe,Rockstar Rookies,RR
RR-15,Dylan Crews,Rockstar Rookies,RR
RR-16,Jacob Wilson,Rockstar Rookies,RR
RR-17,Thomas Saggese,Rockstar Rookies,RR
RR-18,Luisangel Acuña,Rockstar Rookies,RR
RR-19,Spencer Schwellenbach,Rockstar Rookies,RR
RR-20,Roki Sasaki,Rockstar Rookies,RR
RRA-AA,Adael Amador,Rockstar Rookies Autographs,RRA
RRA-BL,Brooks Lee,Rockstar Rookies Autographs,RRA
RRA-CM,Coby Mayo,Rockstar Rookies Autographs,RRA
RRA-CN,Connor Norby,Rockstar Rookies Autographs,RRA
RRA-DC,Dylan Crews,Rockstar Rookies Autographs,RRA
RRA-JJ,Jackson Jobe,Rockstar Rookies Autographs,RRA
RRA-JW,James Wood,Rockstar Rookies Autographs,RRA
RRA-JWI,Jacob Wilson,Rockstar Rookies Autographs,RRA
RRA-KR,Kumar Rocker,Rockstar Rookies Autographs,RRA
RRA-LA,Luisangel Acuña,Rockstar Rookies Autographs,RRA
RRA-RL,Rhett Lowder,Rockstar Rookies Autographs,RRA
RRA-SS,Spencer Schwellenbach,Rockstar Rookies Autographs,RRA
RRA-TS,Thomas Saggese,Rockstar Rookies Autographs,RRA
ROY-1,Dylan Crews,Rookie of the Year Favorites,ROY
ROY-2,Coby Mayo,Rookie of the Year Favorites,ROY
ROY-3,Jackson Jobe,Rookie of the Year Favorites,ROY
ROY-4,Luisangel Acuña,Rookie of the Year Favorites,ROY
ROY-5,Kumar Rocker,Rookie of the Year Favorites,ROY
ROY-6,Thomas Saggese,Rookie of the Year Favorites,ROY
ROY-7,Caden Dana,Rookie of the Year Favorites,ROY
ROY-8,Jace Jung,Rookie of the Year Favorites,ROY
ROY-9,Drew Romo,Rookie of the Year Favorites,ROY
ROY-10,Roki Sasaki,Rookie of the Year Favorites,ROY
ROY-11,Rhett Lowder,Rookie of the Year Favorites,ROY
ROY-12,Trey Sweeney,Rookie of the Year Favorites,ROY
ROY-13,Adael Amador,Rookie of the Year Favorites,ROY
ROY-14,Nick Yorke,Rookie of the Year Favorites,ROY
ROY-15,Kevin Alcántara,Rookie of the Year Favorites,ROY
ROY-AA,Adael Amador,Rookie of the Year Favorites Autographs,ROY-A
ROY-CD,Caden Dana,Rookie of the Year Favorites Autographs,ROY-A
ROY-CM,Coby Mayo,Rookie of the Year Favorites Autographs,ROY-A
ROY-DC,Dylan Crews,Rookie of the Year Favorites Autographs,ROY-A
ROY-DR,Drew Romo,Rookie of the Year Favorites Autographs,ROY-A
ROY-JJ,Jackson Jobe,Rookie of the Year Favorites Autographs,ROY-A
ROY-JJU,Jace Jung,Rookie of the Year Favorites Autographs,ROY-A
ROY-KA,Kevin Alcántara,Rookie of the Year Favorites Autographs,ROY-A
ROY-KR,Kumar Rocker,Rookie of the Year Favorites Autographs,ROY-A
ROY-LA,Luisangel Acuña,Rookie of the Year Favorites Autographs,ROY-A
ROY-RL,Rhett Lowder,Rookie of the Year Favorites Autographs,ROY-A
ROY-RS,Roki Sasaki,Rookie of the Year Favorites Autographs,ROY-A
ROY-TS,Thomas Saggese,Rookie of the Year Favorites Autographs,ROY-A
VIP-1,Carson Williams,Very Important Prospects,VIP
VIP-2,Nick Kurtz,Very Important Prospects,VIP
VIP-3,Sebastian Walcott,Very Important Prospects,VIP
VIP-4,Samuel Basallo,Very Important Prospects,VIP
VIP-5,Bryce Eldridge,Very Important Prospects,VIP
VIP-6,Matt Shaw,Very Important Prospects,VIP
VIP-7,Chase Burns,Very Important Prospects,VIP
VIP-8,Travis Bazzana,Very Important Prospects,VIP
VIP-9,Charlie Condon,Very Important Prospects,VIP
VIP-10,Max Clark,Very Important Prospects,VIP
VIP-11,Jac Caglianone,Very Important Prospects,VIP
VIP-12,Christian Moore,Very Important Prospects,VIP
VIP-13,Colt Emerson,Very Important Prospects,VIP
VIP-14,Leo De Vries,Very Important Prospects,VIP
VIP-15,Cooper Pratt,Very Important Prospects,VIP
VIP-16,Walker Jenkins,Very Important Prospects,VIP
VIP-17,Carson Benge,Very Important Prospects,VIP
VIP-18,JJ Wetherholt,Very Important Prospects,VIP
VIP-19,Aidan Miller,Very Important Prospects,VIP
VIP-20,Konnor Griffin,Very Important Prospects,VIP
VIP-CB,Chase Burns,Very Important Prospects Autographs,VIP-A
VIP-CC,Cam Caminiti,Very Important Prospects Autographs,VIP-A
VIP-CCO,Charlie Condon,Very Important Prospects Autographs,VIP-A
VIP-CE,Colt Emerson,Very Important Prospects Autographs,VIP-A
VIP-CM,Christian Moore,Very Important Prospects Autographs,VIP-A
VIP-CP,Cooper Pratt,Very Important Prospects Autographs,VIP-A
VIP-JC,Jac Caglianone,Very Important Prospects Autographs,VIP-A
VIP-JW,JJ Wetherholt,Very Important Prospects Autographs,VIP-A
VIP-KG,Konnor Griffin,Very Important Prospects Autographs,VIP-A
VIP-LD,Leo De Vries,Very Important Prospects Autographs,VIP-A
VIP-MS,Matt Shaw,Very Important Prospects Autographs,VIP-A
VIP-NK,Nick Kurtz,Very Important Prospects Autographs,VIP-A
VIP-SB,Samuel Basallo,Very Important Prospects Autographs,VIP-A
VIP-TB,Travis Bazzana,Very Important Prospects Autographs,VIP-A
VIP-TW,Thomas White,Very Important Prospects Autographs,VIP-A
